RegionName;State;Metro;County;City;Zri
Northwest Harbor;NY;New York-Newark-Jersey City;Suffolk County;East Hampton;25372
Central Menlo Park;CA;San Francisco-Oakland-Hayward;San Mateo County;Menlo Park;9206
Presidio Heights;CA;San Francisco-Oakland-Hayward;San Francisco County;San Francisco;5721
East Village;CA;Los Angeles-Long Beach-Anaheim;Los Angeles County;San Marino;5692
North of Montana;CA;Los Angeles-Long Beach-Anaheim;Los Angeles County;Santa Monica;5623
Old Naples;FL;Naples-Immokalee-Marco Island;Collier County;Naples;5543
Beverly Crest;CA;Los Angeles-Long Beach-Anaheim;Los Angeles County;Los Angeles;5343
Vineyards-Avalon;CA;San Francisco-Oakland-Hayward;Alameda County;Fremont;5313
Little Italy;NY;New York-Newark-Jersey City;New York County;New York;5183
Pacific Heights;CA;San Francisco-Oakland-Hayward;San Francisco County;San Francisco;5116
Russian Hill;CA;San Francisco-Oakland-Hayward;San Francisco County;San Francisco;5074
Pacific Palisades;CA;Los Angeles-Long Beach-Anaheim;Los Angeles County;Los Angeles;5061
East Mesa;CA;Santa Maria-Santa Barbara;Santa Barbara County;Santa Barbara;4797
Strawberry;CA;San Francisco-Oakland-Hayward;Marin County;Mill Valley;4784
Buena Vista;CA;San Francisco-Oakland-Hayward;San Francisco County;San Francisco;4684
Noe Valley;CA;San Francisco-Oakland-Hayward;San Francisco County;San Francisco;4637
Corona del Mar;CA;Los Angeles-Long Beach-Anaheim;Orange County;Newport Beach;4635
Old Palo Alto;CA;San Jose-Sunnyvale-Santa Clara;Santa Clara County;Palo Alto;4635
Lower Riviera;CA;Santa Maria-Santa Barbara;Santa Barbara County;Santa Barbara;4632
Marina;CA;San Francisco-Oakland-Hayward;San Francisco County;San Francisco;4622
North Beach;CA;San Francisco-Oakland-Hayward;San Francisco County;San Francisco;4605
Miraloma Park;CA;San Francisco-Oakland-Hayward;San Francisco County;San Francisco;4594
Nob Hill;CA;San Francisco-Oakland-Hayward;San Francisco County;San Francisco;4590
Sharon Heights;CA;San Francisco-Oakland-Hayward;San Mateo County;Menlo Park;4586
Triangle South;CA;San Jose-Sunnyvale-Santa Clara;Santa Clara County;Saratoga;4573
Potrero Hill;CA;San Francisco-Oakland-Hayward;San Francisco County;San Francisco;4560
Congress Springs;CA;San Jose-Sunnyvale-Santa Clara;Santa Clara County;Saratoga;4553
Telegraph Hill;CA;San Francisco-Oakland-Hayward;San Francisco County;San Francisco;4550
Del Mar Heights;CA;San Diego-Carlsbad;San Diego County;San Diego;4526
Royal Harbor;FL;Naples-Immokalee-Marco Island;Collier County;Naples;4517
Lower Pacific Heights;CA;San Francisco-Oakland-Hayward;San Francisco County;San Francisco;4515
Tamalpais Valley;CA;San Francisco-Oakland-Hayward;Marin County;Mill Valley;4487
Upper Market;CA;San Francisco-Oakland-Hayward;San Francisco County;San Francisco;4486
South Beach;CA;San Francisco-Oakland-Hayward;San Francisco County;San Francisco;4484
Downtown Menlo Park;CA;San Francisco-Oakland-Hayward;San Mateo County;Menlo Park;4443
Midtown;NY;New York-Newark-Jersey City;New York County;New York;4409
Mission Bay;CA;San Francisco-Oakland-Hayward;San Francisco County;San Francisco;4399
Western Addition;CA;San Francisco-Oakland-Hayward;San Francisco County;San Francisco;4382
Baywood Knolls;CA;San Francisco-Oakland-Hayward;San Mateo County;San Mateo;4378
Brentwood;CA;Los Angeles-Long Beach-Anaheim;Los Angeles County;Los Angeles;4348
Bel Air;CA;Los Angeles-Long Beach-Anaheim;Los Angeles County;Los Angeles;4339
University Heights;CA;San Francisco-Oakland-Hayward;San Mateo County;Menlo Park;4338
Monta Vista North;CA;San Jose-Sunnyvale-Santa Clara;Santa Clara County;Cupertino;4326
Bernal Heights;CA;San Francisco-Oakland-Hayward;San Francisco County;San Francisco;4316
Midtown;CA;San Jose-Sunnyvale-Santa Clara;Santa Clara County;Palo Alto;4300
Mission;CA;San Francisco-Oakland-Hayward;San Francisco County;San Francisco;4265
Westwood;CA;Los Angeles-Long Beach-Anaheim;Los Angeles County;Los Angeles;4245
Golden Gate Heights;CA;San Francisco-Oakland-Hayward;San Francisco County;San Francisco;4245
Venice;CA;Los Angeles-Long Beach-Anaheim;Los Angeles County;Los Angeles;4234
Weibel;CA;San Francisco-Oakland-Hayward;Alameda County;Fremont;4160
Cheviot Hills;CA;Los Angeles-Long Beach-Anaheim;Los Angeles County;Los Angeles;4150
Sunset Park;CA;Los Angeles-Long Beach-Anaheim;Los Angeles County;Santa Monica;4142
Inner Richmond;CA;San Francisco-Oakland-Hayward;San Francisco County;San Francisco;4135
Bay Meadows;CA;San Francisco-Oakland-Hayward;San Mateo County;San Mateo;4124
Glen Park;CA;San Francisco-Oakland-Hayward;San Francisco County;San Francisco;4119
Inner Sunset;CA;San Francisco-Oakland-Hayward;San Francisco County;San Francisco;4092
South of Market;CA;San Francisco-Oakland-Hayward;San Francisco County;San Francisco;4075
Constellations and Stars;CA;San Francisco-Oakland-Hayward;San Mateo County;Foster City;4062
Wilshire-Montana;CA;Los Angeles-Long Beach-Anaheim;Los Angeles County;Santa Monica;4060
Flatiron District;NY;New York-Newark-Jersey City;New York County;New York;4040
East San Roque;CA;Santa Maria-Santa Barbara;Santa Barbara County;Santa Barbara;4003
Outer Richmond;CA;San Francisco-Oakland-Hayward;San Francisco County;San Francisco;3993
La Jolla;CA;San Diego-Carlsbad;San Diego County;San Diego;3979
Oceanview;CA;San Francisco-Oakland-Hayward;San Francisco County;San Francisco;3975
Century City;CA;Los Angeles-Long Beach-Anaheim;Los Angeles County;Los Angeles;3959
Woodside Plaza;CA;San Francisco-Oakland-Hayward;San Mateo County;Redwood City;3937
Outer Sunset;CA;San Francisco-Oakland-Hayward;San Francisco County;San Francisco;3933
El Miradero;CA;Los Angeles-Long Beach-Anaheim;Los Angeles County;Glendale;3933
Famous Ships;CA;San Francisco-Oakland-Hayward;San Mateo County;Foster City;3917
Monta Vista South;CA;San Jose-Sunnyvale-Santa Clara;Santa Clara County;Cupertino;3911
Visitacion Valley;CA;San Francisco-Oakland-Hayward;San Francisco County;San Francisco;3910
Cipriani;CA;San Francisco-Oakland-Hayward;San Mateo County;Belmont;3906
North Blaney;CA;San Jose-Sunnyvale-Santa Clara;Santa Clara County;Cupertino;3899
Silver Terrace;CA;San Francisco-Oakland-Hayward;San Francisco County;San Francisco;3898
Marinwood;CA;San Francisco-Oakland-Hayward;Marin County;San Rafael;3895
Charlestowne;SC;Charleston-North Charleston;Charleston County;Charleston;3892
Southeast Hillsdale;CA;San Francisco-Oakland-Hayward;San Mateo County;San Mateo;3890
West Los Angeles;CA;Los Angeles-Long Beach-Anaheim;Los Angeles County;Los Angeles;3889
Northeast Hillsdale;CA;San Francisco-Oakland-Hayward;San Mateo County;San Mateo;3887
De Anza;CA;San Jose-Sunnyvale-Santa Clara;Santa Clara County;Sunnyvale;3879
Duveneck - St. Francis;CA;San Jose-Sunnyvale-Santa Clara;Santa Clara County;Palo Alto;3868
Aragon;CA;San Francisco-Oakland-Hayward;San Mateo County;San Mateo;3867
Excelsior;CA;San Francisco-Oakland-Hayward;San Francisco County;San Francisco;3857
The Willows;CA;San Francisco-Oakland-Hayward;San Mateo County;Menlo Park;3848
Farm Hill;CA;San Francisco-Oakland-Hayward;San Mateo County;Redwood City;3840
Roosevelt Island;NY;New York-Newark-Jersey City;New York County;New York;3838
Ocean Park;CA;Los Angeles-Long Beach-Anaheim;Los Angeles County;Santa Monica;3819
South of Midtown;CA;San Jose-Sunnyvale-Santa Clara;Santa Clara County;Palo Alto;3816
Sunnyside;CA;San Francisco-Oakland-Hayward;San Francisco County;San Francisco;3814
Parkside;CA;San Francisco-Oakland-Hayward;San Francisco County;San Francisco;3809
Merced Manor;CA;San Francisco-Oakland-Hayward;San Francisco County;San Francisco;3804
Playa Vista;CA;Los Angeles-Long Beach-Anaheim;Los Angeles County;Los Angeles;3799
Redwood Oaks;CA;San Francisco-Oakland-Hayward;San Mateo County;Redwood City;3775
Cuesta Park;CA;San Jose-Sunnyvale-Santa Clara;Santa Clara County;Mountain View;3775
Bayview;CA;San Francisco-Oakland-Hayward;San Francisco County;San Francisco;3774
Upper East Side;NY;New York-Newark-Jersey City;New York County;New York;3772
Mid-City;CA;Los Angeles-Long Beach-Anaheim;Los Angeles County;Santa Monica;3772
Mission Valley;CA;San Francisco-Oakland-Hayward;Alameda County;Fremont;3768
Central;CA;San Francisco-Oakland-Hayward;San Mateo County;Belmont;3762
Rancho Rinconada;CA;San Jose-Sunnyvale-Santa Clara;Santa Clara County;Cupertino;3760
La Playa;CA;San Diego-Carlsbad;San Diego County;San Diego;3757
Old Mountain View;CA;San Jose-Sunnyvale-Santa Clara;Santa Clara County;Mountain View;3756
Riviera;CA;Los Angeles-Long Beach-Anaheim;Los Angeles County;Torrance;3754
Santa Venetia;CA;San Francisco-Oakland-Hayward;Marin County;San Rafael;3754
Diamond Heights;CA;San Francisco-Oakland-Hayward;San Francisco County;San Francisco;3737
Alta Mesa;CA;Santa Maria-Santa Barbara;Santa Barbara County;Santa Barbara;3733
