RegionName,State,Metro,County,City,Zri,Region
Northwest Harbor,NY,New York-Newark-Jersey City,Suffolk County,East Hampton,25372,"Northwest Harbor, East Hampton, Suffolk County, NY"
Central Menlo Park,CA,San Francisco-Oakland-Hayward,San Mateo County,Menlo Park,9206,"Central Menlo Park, Menlo Park, San Mateo County, CA"
Presidio Heights,CA,San Francisco-Oakland-Hayward,San Francisco County,San Francisco,5721,"Presidio Heights, San Francisco, San Francisco County, CA"
East Village,CA,Los Angeles-Long Beach-Anaheim,Los Angeles County,San Marino,5692,"East Village, San Marino, Los Angeles County, CA"
North of Montana,CA,Los Angeles-Long Beach-Anaheim,Los Angeles County,Santa Monica,5623,"North of Montana, Santa Monica, Los Angeles County, CA"
Old Naples,FL,Naples-Immokalee-Marco Island,Collier County,Naples,5543,"Old Naples, Naples, Collier County, FL"
Beverly Crest,CA,Los Angeles-Long Beach-Anaheim,Los Angeles County,Los Angeles,5343,"Beverly Crest, Los Angeles, Los Angeles County, CA"
Vineyards-Avalon,CA,San Francisco-Oakland-Hayward,Alameda County,Fremont,5313,"Vineyards-Avalon, Fremont, Alameda County, CA"
Little Italy,NY,New York-Newark-Jersey City,New York County,New York,5183,"Little Italy, New York, New York County, NY"
Pacific Heights,CA,San Francisco-Oakland-Hayward,San Francisco County,San Francisco,5116,"Pacific Heights, San Francisco, San Francisco County, CA"
Russian Hill,CA,San Francisco-Oakland-Hayward,San Francisco County,San Francisco,5074,"Russian Hill, San Francisco, San Francisco County, CA"
Pacific Palisades,CA,Los Angeles-Long Beach-Anaheim,Los Angeles County,Los Angeles,5061,"Pacific Palisades, Los Angeles, Los Angeles County, CA"
East Mesa,CA,Santa Maria-Santa Barbara,Santa Barbara County,Santa Barbara,4797,"East Mesa, Santa Barbara, Santa Barbara County, CA"
Strawberry,CA,San Francisco-Oakland-Hayward,Marin County,Mill Valley,4784,"Strawberry, Mill Valley, Marin County, CA"
Buena Vista,CA,San Francisco-Oakland-Hayward,San Francisco County,San Francisco,4684,"Buena Vista, San Francisco, San Francisco County, CA"
Noe Valley,CA,San Francisco-Oakland-Hayward,San Francisco County,San Francisco,4637,"Noe Valley, San Francisco, San Francisco County, CA"
Corona del Mar,CA,Los Angeles-Long Beach-Anaheim,Orange County,Newport Beach,4635,"Corona del Mar, Newport Beach, Orange County, CA"
Old Palo Alto,CA,San Jose-Sunnyvale-Santa Clara,Santa Clara County,Palo Alto,4635,"Old Palo Alto, Palo Alto, Santa Clara County, CA"
Lower Riviera,CA,Santa Maria-Santa Barbara,Santa Barbara County,Santa Barbara,4632,"Lower Riviera, Santa Barbara, Santa Barbara County, CA"
Marina,CA,San Francisco-Oakland-Hayward,San Francisco County,San Francisco,4622,"Marina, San Francisco, San Francisco County, CA"
North Beach,CA,San Francisco-Oakland-Hayward,San Francisco County,San Francisco,4605,"North Beach, San Francisco, San Francisco County, CA"
Miraloma Park,CA,San Francisco-Oakland-Hayward,San Francisco County,San Francisco,4594,"Miraloma Park, San Francisco, San Francisco County, CA"
Nob Hill,CA,San Francisco-Oakland-Hayward,San Francisco County,San Francisco,4590,"Nob Hill, San Francisco, San Francisco County, CA"
Sharon Heights,CA,San Francisco-Oakland-Hayward,San Mateo County,Menlo Park,4586,"Sharon Heights, Menlo Park, San Mateo County, CA"
Triangle South,CA,San Jose-Sunnyvale-Santa Clara,Santa Clara County,Saratoga,4573,"Triangle South, Saratoga, Santa Clara County, CA"
Potrero Hill,CA,San Francisco-Oakland-Hayward,San Francisco County,San Francisco,4560,"Potrero Hill, San Francisco, San Francisco County, CA"
